job_number,run_time,n_procs
637,12,16.940837
2185,8,27.509242
317,6,29.642647
1970,4,55.888420
1965,4,56.773102
1162,12,14.494069
1163,11,28.992295
1161,2,95.447571
1594,12,13.758646
1339,4,41.182328
1165,6,14.668737
1156,16,8.539299
682,4,0.725765
1819,4,38.947944
2796,12,10.703520
640,15,9.522792
639,2,78.014635
651,2,59.390081
1177,1,169.137617
1403,1,172.995237
974,1,192.490792
1342,1,182.951635
1085,1,201.771375
1338,1,126.877340
658,25,4.698885
2107,1,0.735796
180,1,125.335875
2079,1,137.956907
1369,1,140.323957
1164,12,9.169170
2795,12,6.160380
2144,1,117.628664
115,1,108.888481
569,1,111.247222
2173,1,116.424966
1144,1,26.415924
189,1,73.779100
515,1,74.772845
1356,1,74.319416
1777,1,84.000874
896,1,80.163049
2376,28,6.251875
735,25,3.875272
899,2,0.763460
768,25,3.815237
929,2,0.763924
797,25,3.838036
2600,16,5.386444
2187,8,10.651106
1259,1,24.836240
1333,1,22.912482
1352,1,22.121714
648,2,37.804053
643,2,39.612715
699,25,3.068694
173,4,4.285885
700,25,3.054664
736,25,3.357077
737,25,3.451534
383,7,2.636410
769,25,3.055533
384,7,2.643870
941,1,19.566926
770,25,3.079999
940,1,18.725935
2979,12,6.117813
698,1,67.293789
157,1,73.821219
1291,1,68.706082
1388,1,70.281952
646,8,9.115775
598,1,18.963981
1968,2,29.963399
1269,1,50.522541
1014,1,51.673958
1271,1,52.028084
1273,1,52.310319
1274,1,53.511465
647,25,2.487481
1268,1,54.582101
804,25,2.320027
805,25,2.715888
1017,1,60.982805
2474,25,2.924834
1372,1,62.679311
1736,1,63.986130
2677,25,2.376601
1311,1,67.025279
86,1,15.688648
988,12,4.563872
87,1,15.596469
230,16,3.056859
93,1,15.665227
883,12,3.842985
1595,12,3.894755
94,1,15.764811
229,1,15.763859
595,2,23.036283
1969,2,18.475654
1319,1,31.598111
649,1,32.148841
659,1,33.050678
2105,1,40.264561
1506,1,34.602936
1310,1,38.443773
381,25,1.711881
1334,1,48.013968
156,1,36.384153
1317,1,37.934370
385,25,1.564558
1386,1,50.021906
673,25,1.538729
942,7,1.314633
382,5,6.995646
674,25,1.665036
965,7,1.203064
675,25,1.556168
99,1,8.524450
676,25,1.599429
677,25,1.536065
1950,4,2.333007
679,25,1.639537
1951,4,2.291558
680,25,1.538872
1023,1,9.169628
831,25,1.528751
1169,1,9.139444
832,25,1.528126
833,25,1.531794
834,25,1.537658
97,1,8.384764
835,25,1.762568
98,1,8.353271
836,25,1.570230
100,1,8.271904
687,4,0.616866
101,1,8.207025
897,2,1.525929
838,25,1.539135
102,1,8.237234
840,25,1.551309
1779,1,8.515638
841,25,1.538746
103,1,7.496791
205,1,4.577871
206,1,4.595510
1964,25,1.536265
148,1,7.627218
211,1,4.579342
212,1,4.576055
1978,25,1.539399
898,2,1.524837
2380,4,0.770264
2675,1,3.820182
3017,1,4.579403
2381,4,0.779794
1981,25,1.574279
1776,1,3.054775
1984,25,1.529038
3018,1,3.048278
3019,1,3.046102
2004,25,1.527396
2005,25,1.562677
2475,25,1.526627
2699,25,1.543408
2700,25,1.534867
2702,25,1.530263
2703,25,1.526719
2704,25,1.555151
2705,25,1.553606
2706,25,1.543640
2710,25,1.624059
2714,25,1.555541
2715,25,1.565848
2716,25,1.527050
2717,25,1.528363
2718,25,1.631320
2719,25,2.372962
2720,25,1.526117
2721,25,1.537452
2722,25,2.031250
2723,25,1.543940
2724,25,1.527408
2725,25,1.537231
2726,25,1.599133
2442,8,4.577656
1835,8,4.584479
2443,8,4.610575
2981,12,3.053211
2444,8,3.098494
1846,8,3.843086
1847,8,3.826678
1848,8,3.834812
1327,2,18.293807
650,2,18.358639
2980,2,18.289998
1850,8,3.810797
1851,8,3.831604
1852,8,3.845756
1853,8,3.825633
1596,12,2.354668
1849,2,15.233375
2664,4,7.624400
1597,12,2.303238
172,1,37.247594
1316,1,37.350165
2447,2,12.168667
1235,1,34.778756
159,1,34.801053
683,2,11.322124
888,1,35.574796
1834,1,32.520339
82,1,32.531638
1198,1,35.643762
1270,1,33.721301
820,22,1.560851
1290,1,21.192411
1734,1,21.183166
1370,1,27.755477
837,25,0.791669
890,1,20.945537
992,1,22.451961
605,1,26.650086
839,25,0.778133
1773,1,20.940438
963,1,20.949854
938,1,20.965734
1816,1,22.427549
2701,25,0.773449
2190,12,1.526237
2445,8,2.288149
174,4,3.097557
2446,8,2.319265
2189,5,4.626092
2448,8,2.307337
2583,12,1.526167
923,1,17.430512
1293,1,16.892417
1168,1,11.539224
83,1,13.018082
1167,1,12.802453
1256,1,12.793644
85,1,12.876976
88,1,12.879539
84,1,13.415762
89,1,13.411156
90,1,14.172546
1153,1,14.177968
92,1,14.185036
91,1,14.715264
