job_number,run_time,n_procs
637,12,16.833354
2185,8,27.476243
317,6,29.674864
1970,4,56.340080
1965,4,57.138660
1162,12,14.484442
1163,11,28.948168
1161,2,95.833929
1594,12,13.733597
1339,4,41.135829
1165,6,15.227338
1156,16,8.452914
682,4,0.732740
1819,4,38.846015
2796,12,10.691870
640,15,9.458813
639,2,78.279847
651,2,59.229859
1177,1,169.772035
1403,1,171.164329
974,1,194.211352
1342,1,180.867987
1085,1,201.084162
1338,1,126.234282
658,25,5.466241
2107,1,0.750240
180,1,124.111151
2079,1,138.944031
1369,1,139.921904
2795,12,6.162194
1164,12,9.172427
2144,1,118.148942
115,1,108.292501
569,1,111.523185
2173,1,116.044855
1144,1,26.689677
189,1,74.068313
896,1,75.710959
1356,1,76.603184
515,1,77.027679
1777,1,85.783640
2376,28,6.362114
735,25,3.883443
899,2,0.827778
768,25,3.837464
929,2,0.762531
797,25,3.845908
2600,16,5.368100
2187,8,10.507649
1259,1,25.385864
1333,1,23.674426
1352,1,23.116007
648,2,38.398918
643,2,40.620412
699,25,3.071301
173,4,4.156780
700,25,3.063176
736,25,3.113269
737,25,4.316250
383,7,2.653875
769,25,3.109108
384,7,2.623313
941,1,19.453237
940,1,18.657448
770,25,3.076283
2979,12,6.149189
157,1,72.450533
698,1,68.056499
1291,1,69.512235
1388,1,69.652686
646,8,9.125679
598,1,18.932151
1968,2,29.673265
1269,1,49.841442
1273,1,51.637588
1014,1,52.587654
1271,1,52.663530
1274,1,54.210209
647,25,2.335560
1268,1,55.630314
804,25,2.315320
805,25,2.323771
1017,1,61.735175
2474,25,2.884064
1736,1,62.598632
1372,1,63.322700
1311,1,65.907046
2677,25,2.344653
86,1,15.936215
988,12,4.534923
87,1,15.908285
230,16,3.060087
93,1,15.883833
1595,12,3.823608
883,12,4.348991
94,1,15.870075
229,1,15.853756
595,2,23.373313
1969,2,18.281271
1319,1,32.397490
659,1,32.428919
649,1,32.941450
1506,1,33.585596
1310,1,37.380676
2105,1,41.207347
381,25,1.536514
156,1,35.716295
1334,1,49.207542
1386,1,49.370470
1317,1,36.968216
385,25,1.838723
673,25,2.398889
382,5,7.115975
942,7,1.365657
674,25,1.805631
99,1,8.235996
965,7,1.289242
675,25,1.594691
676,25,1.565133
677,25,1.534605
1950,4,2.296775
679,25,2.425196
1951,4,2.407349
680,25,1.793538
1023,1,9.075911
831,25,1.530831
1169,1,9.088469
832,25,1.556023
833,25,1.526951
834,25,1.751072
97,1,8.272358
835,25,1.568825
98,1,8.360432
836,25,1.698623
100,1,8.288127
687,4,0.603033
101,1,8.140279
897,2,1.625476
838,25,1.754918
102,1,8.102341
840,25,1.527703
1779,1,8.134020
841,25,1.538590
103,1,7.381256
205,1,4.571970
206,1,4.575315
1964,25,1.540705
148,1,7.577389
211,1,4.569635
212,1,4.573874
898,2,1.524254
1978,25,1.538781
2380,4,0.762736
2675,1,3.916900
3017,1,4.571032
2381,4,0.765625
1981,25,1.719872
1776,1,3.034367
1984,25,1.620029
3018,1,3.003509
3019,1,3.002914
2004,25,2.021482
2005,25,1.637881
2475,25,1.578124
2699,25,1.588747
2700,25,1.622859
2702,25,1.545392
2703,25,1.583459
2704,25,1.573035
2705,25,2.111762
2706,25,1.578143
2710,25,1.988592
2714,25,1.589317
2715,25,2.390143
2716,25,1.534056
2717,25,1.632525
2718,25,1.668091
2719,25,1.610512
2720,25,1.548226
2721,25,2.125603
2722,25,1.589962
2723,25,1.681829
2724,25,1.629613
2725,25,2.107997
2726,25,1.571380
2443,8,4.583188
1835,8,4.610673
2442,8,4.608782
2981,12,3.077189
2444,8,3.083655
1847,8,3.810366
1846,8,3.849295
1848,8,3.804950
650,2,18.294223
1327,2,18.323665
2980,2,18.305688
1850,8,3.818479
1851,8,3.814450
1852,8,3.840104
1853,8,3.810228
1596,12,2.286624
1849,2,15.258693
2664,4,7.623467
1597,12,2.294139
1316,1,37.361827
172,1,37.432605
2447,2,12.081237
1235,1,34.802156
683,2,11.404398
159,1,35.084996
1198,1,35.479755
888,1,35.511110
1834,1,32.657016
82,1,32.671535
1270,1,33.914891
820,22,1.550440
1370,1,27.134809
1734,1,21.591726
992,1,21.776511
890,1,20.498461
1290,1,22.049450
938,1,20.054942
963,1,20.051912
837,25,0.911896
1773,1,20.451206
605,1,26.551542
839,25,0.792370
1816,1,21.997361
2701,25,0.776988
2190,12,1.527398
2445,8,2.298971
174,4,3.046688
2189,5,4.570258
2446,8,2.320738
2448,8,2.287250
2583,12,1.537564
923,1,17.631325
1293,1,17.147751
1168,1,11.772689
88,1,12.766804
89,1,12.808111
1167,1,12.935923
1153,1,13.679341
85,1,13.726866
83,1,13.751060
84,1,13.775233
1256,1,13.060858
90,1,14.011393
92,1,14.717997
91,1,14.851659
