job_number,run_time,n_procs
637,12,17.513226
2185,8,28.250377
317,6,29.678683
1970,4,56.433223
1965,4,57.207274
1162,12,14.488824
1163,11,28.944622
1161,2,96.017238
1594,12,13.729907
1339,4,41.212691
1165,6,15.074564
1156,16,8.611483
682,4,0.732453
1819,4,38.694118
2796,12,10.682490
640,15,9.253690
639,2,78.445409
651,2,59.457700
1177,1,169.113278
1403,1,172.788001
974,1,192.749077
1342,1,182.649940
1085,1,201.142956
1338,1,127.692344
658,25,4.993066
2107,1,0.877292
180,1,124.444053
2079,1,136.660535
1369,1,141.220763
2795,12,6.983052
1164,12,9.453818
2144,1,118.011388
115,1,109.706394
569,1,110.600049
2173,1,115.000648
1144,1,26.687623
896,1,76.327484
189,1,72.530510
1356,1,76.793402
2376,28,6.131022
1777,1,86.911174
515,1,78.953713
735,25,3.830592
899,2,0.769621
768,25,3.827436
929,2,0.763100
797,25,3.848901
2600,16,5.393700
2187,8,10.438794
1259,1,25.059056
1333,1,23.082246
1352,1,22.253284
648,2,37.531352
643,2,39.740875
699,25,3.672376
173,4,4.160457
700,25,3.052519
736,25,3.306062
737,25,3.124862
383,7,2.622259
769,25,4.028354
384,7,2.705272
941,1,19.331702
940,1,18.583885
770,25,3.104766
2979,12,6.101065
698,1,67.006086
1291,1,68.315523
157,1,73.745261
1388,1,69.900985
646,8,9.155663
598,1,18.862504
1968,2,30.290020
1269,1,50.022480
1273,1,51.764115
1271,1,52.307086
1014,1,52.336235
1274,1,53.779428
1268,1,54.331992
647,25,2.325089
804,25,2.295787
805,25,2.331182
1017,1,61.487957
2474,25,2.569926
1372,1,62.796312
1736,1,64.548528
2677,25,2.659009
1311,1,67.364349
86,1,15.820465
988,12,4.675901
87,1,15.727380
230,16,3.079096
93,1,15.634293
1595,12,3.875819
883,12,3.884553
94,1,15.531636
229,1,15.402587
595,2,23.369518
1969,2,18.213359
1319,1,32.321910
659,1,32.398248
649,1,32.815203
1310,1,37.421106
1506,1,33.821730
2105,1,41.269321
381,25,1.777877
156,1,35.711117
1317,1,36.934724
1334,1,48.960812
1386,1,49.125524
385,25,1.816111
673,25,2.085062
382,5,6.960171
942,7,1.254717
674,25,1.554172
965,7,1.230883
99,1,8.645931
675,25,1.528676
676,25,1.526774
677,25,1.528938
1950,4,2.284591
679,25,2.048295
1951,4,2.277881
680,25,1.653458
1023,1,9.107822
831,25,1.531884
1169,1,9.110351
832,25,1.580897
833,25,1.544986
834,25,1.747554
97,1,8.347311
835,25,1.660355
98,1,8.344925
836,25,1.530458
100,1,8.294261
687,4,0.608072
101,1,8.175793
838,25,1.571696
897,2,1.575984
102,1,8.186014
840,25,1.528416
1779,1,8.296913
841,25,1.529596
103,1,7.451681
205,1,4.570889
206,1,4.574178
1964,25,1.529195
148,1,7.620789
211,1,4.588932
898,2,1.537027
1978,25,1.552053
212,1,4.622745
2380,4,0.761676
2675,1,3.816933
3017,1,4.576321
2381,4,0.764265
1981,25,1.714002
1776,1,2.995682
1984,25,1.553198
3018,1,3.004561
3019,1,3.009876
2004,25,1.527304
2005,25,1.526069
2475,25,1.524989
2699,25,1.533920
2700,25,1.580153
2702,25,1.561522
2703,25,1.528311
2704,25,1.526501
2705,25,1.539593
2706,25,1.663280
2710,25,1.575680
2714,25,1.901537
2715,25,1.592428
2716,25,1.622942
2717,25,1.615755
2718,25,1.548620
2719,25,2.038611
2720,25,1.921367
2721,25,1.621153
2722,25,1.571401
2723,25,1.534339
2724,25,1.871255
2725,25,1.599452
2726,25,1.670451
1835,8,4.593469
2442,8,4.597977
2443,8,4.626333
2981,12,3.051092
2444,8,3.050475
1846,8,3.819672
1847,8,3.923449
1848,8,3.819399
650,2,18.239970
1327,2,18.266009
2980,2,18.309284
1850,8,3.816310
1851,8,3.837384
1852,8,3.825071
1853,8,3.823152
1596,12,2.290240
1849,2,15.115426
2664,4,7.621878
1597,12,2.323522
1316,1,37.181201
172,1,37.186469
2447,2,11.946210
1235,1,34.526449
683,2,11.421547
159,1,34.945653
888,1,35.185606
1198,1,35.183960
1834,1,32.201906
82,1,32.630269
1270,1,33.946432
820,22,1.592205
1370,1,26.643873
1290,1,21.085292
1734,1,21.134009
837,25,0.811490
992,1,22.467626
890,1,21.082135
839,25,0.794519
938,1,21.051927
963,1,21.053142
1773,1,21.065261
605,1,27.054124
2701,25,0.774838
1816,1,22.597655
2190,12,1.525522
2445,8,2.288320
174,4,3.048318
2446,8,2.282781
2189,5,4.568053
2448,8,2.283850
2583,12,1.538959
1293,1,16.609290
1168,1,11.264706
923,1,17.288463
1167,1,12.503382
1256,1,12.527355
83,1,13.276552
84,1,13.120092
88,1,13.112833
85,1,13.123534
89,1,13.129703
1153,1,13.898471
90,1,14.439846
92,1,14.434944
91,1,14.457926
