job_number,run_time,n_procs
1777,1,109.082242
1164,1,109.840245
658,1,114.474957
640,1,114.590877
115,1,122.854817
569,1,125.198344
651,1,126.648795
2796,1,128.158353
2173,1,131.231080
2144,1,131.279719
1156,1,134.438100
180,1,138.245418
1338,1,139.919512
2079,1,150.332890
1369,1,153.500146
1819,1,155.574948
639,1,160.454724
1339,1,164.708428
1594,1,164.869853
1162,1,173.856420
1163,1,174.264434
1177,1,174.907228
317,1,178.760041
1403,1,179.209071
1342,1,192.310526
1161,1,192.821651
637,1,201.277831
974,1,201.655690
515,1,101.495238
1085,1,212.405594
896,1,103.766284
1356,1,99.264080
189,1,100.003012
2185,1,219.631737
2376,1,97.653685
735,1,95.373785
768,1,95.273595
1165,1,91.523488
648,1,88.523681
797,1,95.438428
2187,1,85.574115
643,1,93.009019
1970,1,225.683095
2600,1,85.791531
1965,1,229.269335
1388,1,79.386766
1291,1,77.824557
157,1,83.134537
698,1,76.293095
699,1,76.301411
700,1,76.239068
736,1,76.231640
737,1,76.819344
769,1,76.435504
1311,1,75.791309
770,1,76.412964
2795,1,73.195342
2979,1,73.483285
1372,1,70.977612
1736,1,72.431332
1273,1,61.062387
1274,1,61.839447
1268,1,63.414994
1968,1,65.596912
646,1,57.165547
1269,1,58.757958
1014,1,60.435783
647,1,57.176724
804,1,57.229331
1271,1,60.224975
805,1,57.198493
1017,1,69.433386
2474,1,57.221440
2105,1,48.052999
2677,1,57.394032
1334,1,56.412049
1386,1,56.419707
230,1,48.842780
883,1,46.040053
595,1,50.403658
988,1,54.888235
1310,1,44.242004
1595,1,45.746150
156,1,42.774363
1969,1,42.766826
1317,1,44.558987
649,1,39.737046
1506,1,40.440717
659,1,38.883006
1319,1,38.949020
381,1,38.155312
382,1,38.159942
385,1,38.162115
673,1,38.185696
674,1,38.142870
675,1,38.585064
676,1,38.108369
677,1,38.129627
679,1,38.121622
680,1,38.130680
831,1,38.139885
832,1,38.123517
833,1,38.122106
834,1,38.142927
835,1,38.185963
836,1,38.124655
838,1,38.172818
841,1,38.117224
840,1,38.244265
1964,1,38.133172
1978,1,38.118698
1981,1,38.176155
1984,1,38.119430
2004,1,38.119440
2005,1,38.123274
2475,1,38.116523
2699,1,38.311039
2700,1,38.251798
2702,1,38.198529
2703,1,38.120071
2704,1,38.124050
2705,1,38.166309
2706,1,38.176559
2710,1,38.216763
2714,1,38.201624
2715,1,38.145559
2716,1,38.192883
2717,1,38.224171
2718,1,38.132705
2719,1,38.136799
2720,1,38.126011
2721,1,38.121649
2722,1,38.161271
650,1,36.598176
1327,1,36.597594
172,1,37.382616
2724,1,38.126899
1835,1,36.730014
2723,1,38.176813
2725,1,38.140163
1316,1,37.492566
2726,1,38.141688
2442,1,36.622817
2443,1,36.641089
2980,1,36.592585
2981,1,36.631697
888,1,35.826487
82,1,32.922867
1270,1,34.331772
159,1,35.153399
1235,1,35.079022
1198,1,36.724383
1144,1,31.310161
1834,1,32.789925
1846,1,30.518365
1847,1,30.509048
992,1,23.653253
1290,1,23.654331
1734,1,23.697196
1333,1,24.398083
1352,1,24.422001
2444,1,24.436323
2447,1,24.407099
683,1,22.871021
1816,1,23.661860
890,1,22.120870
1848,1,30.531956
1849,1,30.544063
938,1,22.131832
1259,1,25.964304
1850,1,30.517688
1596,1,27.452638
1597,1,27.454664
605,1,28.231761
1851,1,30.582592
1852,1,30.490763
1370,1,29.732720
1853,1,30.498226
2664,1,30.505645
963,1,22.112120
941,1,20.637559
940,1,20.041129
173,1,21.346639
1773,1,22.130283
383,1,19.078067
384,1,19.064802
598,1,19.067599
86,1,16.034486
90,1,16.789584
91,1,16.768100
820,1,19.055104
92,1,16.799415
1293,1,18.311436
2189,1,18.296574
2190,1,18.303301
2445,1,18.296799
837,1,19.084709
2446,1,18.314832
839,1,19.060485
923,1,19.081403
87,1,16.010781
93,1,16.062735
2448,1,18.297086
2701,1,19.058211
94,1,16.018479
2583,1,18.313873
83,1,15.263261
229,1,16.053821
84,1,15.280546
1153,1,16.009748
85,1,15.265817
1168,1,12.977516
1256,1,14.487932
1167,1,14.683150
99,1,9.148920
88,1,15.249742
89,1,15.261839
682,1,3.048730
687,1,3.049897
897,1,3.049591
2675,1,3.811389
205,1,4.575597
898,1,3.050817
206,1,4.580768
1776,1,3.051901
211,1,4.574100
2107,1,0.762651
212,1,4.575392
899,1,1.517686
3017,1,4.575763
929,1,1.523766
2380,1,3.027874
174,1,12.177890
2381,1,2.926164
3018,1,2.923170
3019,1,2.912493
148,1,7.175861
942,1,9.065395
103,1,7.547985
98,1,7.904984
102,1,7.810221
97,1,8.246550
100,1,8.245394
101,1,8.233291
1951,1,8.432986
965,1,8.981378
1779,1,8.224442
1023,1,8.959822
1169,1,8.901227
1950,1,8.896848
