job_number,run_time,n_procs
1777,1,109.092574
1164,1,109.877672
640,1,114.469134
658,1,114.575834
115,1,122.777447
569,1,125.083179
651,1,127.471247
2796,1,128.089897
2173,1,131.237417
2144,1,131.802995
1156,1,134.283491
180,1,138.222049
1338,1,139.678892
2079,1,150.975780
1369,1,153.597822
1819,1,155.720576
639,1,160.324358
1594,1,164.806635
1339,1,164.976501
1162,1,173.858425
1163,1,173.953982
1177,1,174.792917
317,1,179.649610
1403,1,181.635081
1342,1,191.731084
1161,1,193.118063
974,1,200.649207
637,1,201.389781
1085,1,211.435804
515,1,101.563210
1356,1,99.302932
189,1,100.004038
896,1,105.446143
2185,1,219.583237
735,1,95.474862
2376,1,98.694208
648,1,88.492830
768,1,95.369170
1165,1,91.567567
2187,1,85.505875
797,1,95.675089
643,1,93.097522
2600,1,85.527616
1965,1,228.971196
1970,1,229.067813
1388,1,79.372223
1291,1,77.830261
157,1,83.136021
698,1,76.273670
699,1,76.262471
700,1,76.360181
736,1,76.251192
737,1,76.277571
769,1,76.337974
770,1,76.286226
1311,1,76.198399
2795,1,73.291733
2979,1,73.197616
1372,1,70.911072
1736,1,72.588346
1273,1,61.099522
1274,1,61.786866
1968,1,65.592928
1268,1,63.406808
1014,1,60.240469
646,1,57.192558
647,1,57.183057
1269,1,58.793613
804,1,57.193687
1017,1,69.405151
1271,1,60.319944
2474,1,57.333491
2677,1,57.190915
1334,1,56.456810
805,1,58.306741
2105,1,48.227596
883,1,45.782018
230,1,48.835968
595,1,50.339567
988,1,55.024968
1386,1,56.484537
1310,1,44.246168
1595,1,45.795084
156,1,42.717915
1969,1,42.742876
1317,1,44.223186
1506,1,40.453860
649,1,39.667938
659,1,38.914487
1319,1,38.907559
381,1,38.126636
382,1,38.270719
385,1,38.141380
673,1,38.175587
674,1,38.212783
675,1,38.387533
676,1,38.201856
677,1,38.159934
679,1,38.162520
680,1,38.246806
831,1,38.187735
832,1,38.139772
833,1,38.407615
834,1,38.200405
835,1,38.121174
836,1,38.242042
838,1,38.188666
840,1,38.155306
841,1,38.135829
1964,1,38.150290
1978,1,38.150231
1981,1,38.183511
1984,1,38.235667
2004,1,38.194089
2005,1,38.213502
2475,1,38.138367
2699,1,38.147927
2700,1,38.115024
2702,1,38.141609
2703,1,38.383078
2704,1,38.181653
2705,1,38.207870
2706,1,38.132441
2710,1,38.203482
2714,1,38.129033
2715,1,38.209292
2716,1,38.382197
2717,1,38.143557
2719,1,38.176837
2718,1,38.392246
2720,1,38.132054
2721,1,38.220708
2722,1,38.148859
2723,1,38.164499
650,1,36.602294
1835,1,36.705622
172,1,37.374037
1327,1,36.819351
2724,1,38.204111
2725,1,38.202616
1316,1,37.475779
2726,1,38.127622
2442,1,36.643105
2443,1,36.680317
2980,1,36.652528
2981,1,36.744537
888,1,35.873592
1198,1,35.891249
159,1,35.193506
1235,1,35.058287
82,1,32.890815
1270,1,34.312214
1144,1,31.278063
1834,1,32.796076
1846,1,30.738078
1847,1,30.515170
992,1,23.637198
1290,1,23.626931
1333,1,24.398052
1352,1,24.393845
1734,1,23.654138
2447,1,24.429073
2444,1,24.449901
1816,1,23.662219
1848,1,30.564643
890,1,22.172059
938,1,22.112234
1259,1,25.915991
1849,1,30.519706
683,1,23.015015
1850,1,30.517705
1851,1,30.494198
1596,1,27.451033
1597,1,27.445875
605,1,28.224856
1370,1,29.076780
1853,1,30.495845
1852,1,30.524171
2664,1,30.541154
940,1,19.910319
173,1,21.339510
963,1,22.109240
1773,1,22.110354
941,1,20.610190
383,1,19.065192
384,1,19.143146
598,1,19.070325
820,1,19.076759
90,1,16.783522
91,1,16.784165
1293,1,18.308244
92,1,16.816997
86,1,16.023108
2190,1,18.327304
2189,1,18.333909
87,1,16.007764
839,1,19.065520
93,1,16.016594
837,1,19.219083
94,1,16.082420
923,1,19.063557
2701,1,19.070115
2446,1,18.296008
2445,1,18.373898
2448,1,18.371803
229,1,16.018992
2583,1,18.306186
1153,1,16.067187
83,1,15.248482
84,1,15.251881
1168,1,12.976931
85,1,15.457633
99,1,9.193071
1167,1,14.486986
1256,1,14.490596
88,1,15.289182
89,1,15.243008
682,1,3.051400
687,1,3.053549
2675,1,3.814716
897,1,3.050214
898,1,3.063964
2107,1,0.764001
205,1,4.575966
206,1,4.581842
1776,1,3.049403
2380,1,3.065879
211,1,4.575234
212,1,4.574282
899,1,1.523127
929,1,1.518143
3017,1,4.564406
174,1,12.146920
2381,1,3.045751
3018,1,3.045922
3019,1,3.038809
942,1,9.079706
148,1,7.170757
103,1,7.454519
965,1,8.867130
98,1,7.818514
101,1,7.799785
97,1,8.140389
1169,1,8.483891
100,1,8.167619
1951,1,8.430332
102,1,8.097812
1779,1,8.084240
1023,1,8.806515
1950,1,8.768988
