job_number,run_time,n_procs
637,12,16.894411
2185,8,27.479876
317,6,29.697138
1970,4,56.381257
1965,4,57.118511
1162,12,14.476044
1163,11,28.958026
1161,2,95.343212
1594,12,13.813997
1339,4,41.121556
1165,6,15.265609
1156,16,8.448585
682,4,0.747951
1819,4,38.867066
2796,12,10.668003
640,15,9.592107
639,2,77.086802
651,2,59.234195
1177,1,169.065717
1403,1,171.574626
974,1,192.492999
1342,1,183.146189
1085,1,200.414783
1338,1,128.123563
658,25,4.613951
180,1,123.756016
2107,1,0.760059
2079,1,135.701440
2795,12,6.153192
1369,1,141.855409
1164,12,9.162173
2144,1,118.497131
115,1,109.545111
569,1,111.888435
2173,1,115.038099
1144,1,25.525265
1777,1,80.635038
189,1,75.058734
896,1,80.718784
1356,1,77.364960
515,1,79.637130
2376,28,6.308619
735,25,3.814482
899,2,0.762322
768,25,3.813338
929,2,0.763566
797,25,3.875716
2600,16,5.373347
2187,8,10.414359
1259,1,25.112628
1333,1,23.191292
1352,1,22.362995
648,2,37.560088
643,2,40.126580
699,25,3.077035
173,4,4.163514
700,25,3.069098
736,25,3.100988
737,25,3.639241
383,7,2.655748
769,25,3.102647
384,7,2.647215
941,1,19.492986
770,25,3.079033
940,1,18.734391
2979,12,6.113460
698,1,67.322987
157,1,73.769692
1291,1,68.877067
1388,1,70.368067
646,8,9.128635
598,1,18.913288
1968,2,29.849109
1269,1,50.577787
1014,1,51.877510
1271,1,51.883491
1273,1,52.482484
1274,1,53.422798
647,25,2.300398
1268,1,54.769838
804,25,2.842685
805,25,2.416856
1017,1,60.805116
2474,25,2.739889
1372,1,62.525365
1736,1,63.881545
2677,25,2.492153
1311,1,67.100746
86,1,15.893076
988,12,4.543165
87,1,15.882918
230,16,3.064092
93,1,15.911249
883,12,3.848839
1595,12,4.161158
94,1,15.880629
229,1,15.662619
595,2,23.450360
1969,2,18.168465
659,1,31.806498
1319,1,32.886025
1506,1,32.921679
649,1,33.626000
381,25,1.566186
1310,1,38.140419
2105,1,41.943728
156,1,35.131454
1317,1,37.268042
1334,1,49.627600
1386,1,48.894917
385,25,1.547281
673,25,1.762898
382,5,6.879442
942,7,1.365627
674,25,1.561305
965,7,1.237323
99,1,8.447748
675,25,1.528541
676,25,1.528553
677,25,1.538553
1950,4,2.288412
679,25,1.854616
1951,4,2.263324
680,25,1.544667
1023,1,9.109458
831,25,1.527672
1169,1,9.129042
832,25,1.554037
833,25,1.528409
834,25,1.639455
97,1,8.372696
835,25,1.660447
98,1,8.354296
836,25,1.540710
100,1,8.292763
687,4,0.621668
101,1,8.180530
838,25,1.530259
897,2,1.526311
102,1,8.184959
840,25,1.538717
1779,1,8.187053
841,25,1.531875
103,1,7.478382
206,1,4.577812
205,1,4.658805
1964,25,1.661677
212,1,4.556974
148,1,7.703391
898,2,1.523608
211,1,4.794702
1978,25,2.033563
2380,4,0.719547
2675,1,3.745047
3017,1,4.526273
2381,4,0.884973
1981,25,1.878382
1776,1,2.982529
1984,25,1.584540
3018,1,3.006503
3019,1,3.025601
2004,25,1.533135
2005,25,1.572878
2475,25,1.865224
2699,25,1.534752
2700,25,1.600526
2702,25,1.543749
2703,25,1.543828
2704,25,1.544064
2705,25,1.618081
2706,25,1.581850
2710,25,1.854215
2714,25,1.639885
2715,25,1.528840
2716,25,1.535857
2717,25,1.526687
2718,25,1.560581
2719,25,1.537306
2720,25,1.527143
2721,25,1.540876
2722,25,1.527423
2723,25,1.532189
2724,25,1.586514
2725,25,1.553355
2726,25,1.558794
2442,8,4.594657
1835,8,4.614076
2443,8,4.613661
2444,8,3.076274
2981,12,3.094403
1846,8,3.828157
1847,8,3.848844
1848,8,3.816109
650,2,18.289342
1327,2,18.298383
2980,2,18.291189
1850,8,3.828391
1851,8,3.840140
1852,8,3.816340
1853,8,3.809988
1596,12,2.397478
1849,2,15.241465
2664,4,7.659285
1597,12,2.338007
172,1,37.312007
1316,1,37.397550
2447,2,12.207382
159,1,34.889236
1235,1,35.036161
683,2,11.402492
888,1,35.641622
1198,1,35.654929
82,1,32.627536
1834,1,32.630052
1270,1,33.815910
820,22,1.890665
1370,1,27.663875
890,1,20.065597
1290,1,21.576679
992,1,21.679524
1734,1,22.239254
837,25,0.826833
1773,1,20.702272
938,1,20.832227
839,25,0.782825
605,1,27.054737
963,1,20.930270
1816,1,21.862561
2701,25,0.817527
2190,12,1.526908
2445,8,2.286641
174,4,3.050545
2446,8,2.284194
2189,5,4.636993
2448,8,2.289373
2583,12,1.533823
923,1,16.777610
1167,1,12.051203
1293,1,16.864596
1168,1,11.724267
1153,1,13.276316
1256,1,12.550623
89,1,13.377292
85,1,13.584426
83,1,13.812886
88,1,13.779805
84,1,13.824425
92,1,14.969820
91,1,14.985135
90,1,14.992884
