job_number,run_time,n_procs
637,12,16.865659
2185,8,27.584143
317,6,29.720388
1970,4,56.463000
1965,4,57.213778
1162,12,14.536427
1163,11,28.978603
1161,2,96.050870
1594,12,13.814799
1339,4,41.176878
1165,6,15.234658
1156,16,8.457743
682,4,0.766855
1819,4,38.808537
2796,12,10.680636
640,15,9.698765
639,2,78.549031
651,2,58.774439
1177,1,168.723498
1403,1,172.425599
974,1,193.197124
1342,1,183.823870
1085,1,201.650941
1338,1,127.274819
658,25,4.622797
2107,1,0.761297
180,1,124.803336
2079,1,138.199986
1369,1,139.952749
1164,12,9.155943
2795,12,6.445220
115,1,108.334704
2144,1,118.375618
569,1,111.625076
2173,1,116.508086
1144,1,26.118832
1356,1,73.319601
189,1,74.210416
515,1,76.404521
896,1,78.655110
1777,1,85.857579
2376,28,6.133577
735,25,3.815190
899,2,0.761994
768,25,3.902860
929,2,0.762623
797,25,3.859867
2600,16,5.408666
2187,8,10.455683
1259,1,25.452804
1333,1,23.509250
1352,1,23.158239
648,2,38.571227
643,2,40.918389
699,25,3.057585
173,4,4.171089
700,25,3.085065
736,25,3.367094
737,25,3.425073
383,7,2.623861
769,25,3.399316
384,7,2.662603
941,1,19.428034
770,25,3.076705
940,1,18.662810
2979,12,6.098184
157,1,72.078155
698,1,68.302163
1291,1,69.787501
1388,1,70.870511
646,8,9.156848
598,1,18.734789
1968,2,29.696589
1269,1,50.554246
1014,1,51.546583
1271,1,51.869249
1273,1,52.710416
1274,1,53.484016
1268,1,54.537531
647,25,2.661834
804,25,2.387296
805,25,2.542948
1017,1,61.117787
1372,1,62.473837
2474,25,3.031213
1736,1,64.087260
1311,1,66.787659
2677,25,3.176233
86,1,15.796349
988,12,4.540454
87,1,15.715584
93,1,15.723260
230,16,3.070286
94,1,15.720073
883,12,3.823938
1595,12,3.838239
229,1,15.688215
595,2,23.550926
1969,2,18.654920
659,1,31.831317
1319,1,32.101224
1310,1,36.855050
649,1,33.488229
1506,1,34.251940
381,25,1.817976
2105,1,41.774406
156,1,35.340679
1334,1,48.589763
1386,1,49.719826
385,25,1.607529
1317,1,37.653553
673,25,1.676114
942,7,1.341978
674,25,1.548914
382,5,7.173901
965,7,1.231151
675,25,1.742867
99,1,8.544599
676,25,1.528053
677,25,1.534455
1950,4,2.413895
679,25,2.076035
1951,4,2.226171
680,25,1.539956
1023,1,9.231158
831,25,1.814740
1169,1,9.015879
832,25,1.606776
833,25,1.539205
834,25,1.540128
97,1,8.331794
835,25,1.557201
98,1,8.324589
836,25,1.632592
100,1,8.356887
687,4,0.597921
101,1,8.233297
897,2,1.525875
838,25,1.614068
102,1,8.222230
840,25,1.540769
1779,1,8.221177
841,25,1.539077
103,1,7.478946
205,1,4.578759
206,1,4.576213
1964,25,1.557864
148,1,7.650148
211,1,4.581730
212,1,4.578893
898,2,1.527421
1978,25,1.560793
2380,4,0.762926
2675,1,3.822255
3017,1,4.574939
2381,4,0.763430
1981,25,1.541210
1776,1,3.053098
1984,25,1.527749
3018,1,3.049689
3019,1,3.045667
2004,25,1.536103
2005,25,1.527023
2475,25,1.544059
2699,25,1.527950
2700,25,1.535627
2702,25,1.609076
2703,25,1.616676
2704,25,1.691725
2705,25,1.610095
2706,25,1.778849
2710,25,1.626369
2714,25,1.528063
2715,25,1.533349
2716,25,1.527922
2717,25,1.600954
2718,25,1.531207
2719,25,1.570055
2720,25,1.527960
2721,25,2.021784
2722,25,1.596261
2723,25,1.613549
2724,25,1.531098
2725,25,1.561171
2726,25,1.529063
2442,8,4.588209
2443,8,4.592909
1835,8,4.612296
2444,8,3.051760
2981,12,3.092793
1846,8,3.824226
1847,8,3.834205
1848,8,3.808850
1327,2,18.343740
650,2,18.350455
2980,2,18.331801
1850,8,3.829303
1851,8,3.830511
1852,8,3.815437
1853,8,3.817802
1849,2,15.230094
1596,12,2.800172
2664,4,7.589005
1597,12,2.303940
172,1,37.242355
1316,1,37.354906
1235,1,34.841132
2447,2,12.179258
159,1,35.004563
683,2,11.432891
888,1,35.505406
1834,1,32.497525
1198,1,35.699852
82,1,32.654289
1270,1,33.725535
820,22,1.541225
1370,1,27.296159
890,1,20.401954
992,1,21.720585
1290,1,21.737174
1734,1,21.743692
605,1,26.208659
1773,1,20.174910
938,1,20.212531
837,25,0.787797
963,1,20.235492
1816,1,21.700090
839,25,0.764907
2701,25,0.821897
2190,12,1.560354
2445,8,2.287505
174,4,3.294836
2189,5,4.571462
2446,8,2.286730
2448,8,2.286732
2583,12,1.528402
923,1,17.045019
1293,1,16.285915
1168,1,10.949461
1256,1,12.128293
88,1,12.878902
1167,1,12.956387
85,1,13.417703
83,1,13.431717
84,1,13.613224
89,1,13.598366
1153,1,14.167817
90,1,14.713394
91,1,14.750044
92,1,14.739301
