job_number,run_time,n_procs
637,12,16.903348
2185,8,27.495365
317,6,29.437035
1970,4,56.285837
1965,4,56.865753
1162,12,14.501847
1163,11,28.941747
1161,2,95.595092
1594,12,13.745805
1339,4,41.467016
1165,6,15.165758
1156,16,8.434774
682,4,0.641357
1819,4,38.867939
2796,12,10.679114
640,15,9.730537
639,2,79.084322
651,2,59.649122
1177,1,169.287528
1403,1,173.253660
974,1,193.677834
1342,1,182.207616
1085,1,202.064867
1338,1,126.452953
658,25,4.843937
2107,1,0.733000
180,1,126.383483
2079,1,137.082431
1369,1,140.252551
1164,12,9.144008
2795,12,6.139063
2144,1,118.971362
115,1,109.757506
569,1,111.405150
2173,1,115.643338
1144,1,26.947033
1356,1,72.152923
1777,1,82.034303
896,1,81.378202
189,1,78.021810
2376,28,6.420134
515,1,78.964977
735,25,3.822466
899,2,0.762212
768,25,3.817090
929,2,0.762532
797,25,3.843836
2600,16,5.394408
2187,8,10.457037
1259,1,25.065084
1333,1,23.113412
1352,1,22.300505
648,2,37.852992
643,2,39.609958
699,25,3.112136
173,4,4.151237
700,25,3.066453
736,25,3.086766
737,25,3.123623
383,7,2.623403
769,25,3.778734
384,7,2.625938
941,1,19.533958
940,1,18.752118
770,25,3.864798
2979,12,6.117273
698,1,67.035665
157,1,74.044468
1291,1,68.649078
1388,1,70.068512
598,1,18.737290
646,8,9.137607
1968,2,29.622513
1269,1,50.167825
1014,1,51.762742
1271,1,52.029808
1273,1,52.048687
1274,1,53.543940
647,25,2.302778
1268,1,55.062926
804,25,2.446015
805,25,2.379812
1017,1,61.249582
2474,25,2.681166
1372,1,62.647008
1311,1,66.292258
1736,1,64.170559
2677,25,2.637321
86,1,15.844489
988,12,4.558261
87,1,15.809585
230,16,3.075009
93,1,15.722663
1595,12,3.966410
883,12,4.577737
94,1,15.706598
229,1,15.560942
595,2,23.193398
1969,2,18.234089
1319,1,31.868950
659,1,32.758748
1506,1,33.002148
649,1,33.435795
1310,1,37.762188
381,25,1.686987
2105,1,41.815263
156,1,35.422290
1317,1,36.372900
1386,1,49.447101
1334,1,50.230996
385,25,1.557658
673,25,1.536964
942,7,1.332003
382,5,6.982878
674,25,1.533436
965,7,1.231521
675,25,1.527920
99,1,8.494881
676,25,1.528326
677,25,1.538177
1950,4,2.288447
679,25,1.982941
1951,4,2.301574
680,25,1.943996
1023,1,9.023760
831,25,1.529299
1169,1,8.991872
832,25,1.528024
833,25,1.548833
834,25,1.530371
97,1,8.404912
835,25,1.672157
98,1,8.547230
836,25,1.792964
100,1,8.442773
687,4,0.615177
101,1,8.161914
897,2,1.525486
838,25,1.538312
102,1,8.138804
840,25,1.529799
1779,1,8.226714
841,25,1.539362
103,1,7.429834
206,1,4.575490
205,1,4.601399
1964,25,1.707071
148,1,7.607310
212,1,4.556825
211,1,4.560681
898,2,1.586591
1978,25,1.638022
2380,4,0.793610
2675,1,3.807378
3017,1,4.546348
2381,4,0.775791
1981,25,1.594563
1776,1,2.991101
1984,25,2.084892
3018,1,2.866739
3019,1,2.866774
2004,25,1.559363
2005,25,1.774801
2475,25,1.591805
2699,25,1.543250
2700,25,1.593674
2702,25,1.563391
2703,25,1.546344
2704,25,1.552175
2705,25,1.973563
2706,25,1.535702
2710,25,1.649876
2714,25,2.294514
2715,25,1.528234
2716,25,1.532925
2717,25,1.547381
2718,25,1.584243
2719,25,1.541401
2720,25,1.856619
2721,25,1.541648
2722,25,1.792443
2723,25,1.655823
2724,25,1.597054
2725,25,1.704500
2726,25,1.636703
2442,8,4.594907
1835,8,4.601577
2443,8,4.609548
2981,12,3.052195
2444,8,3.051741
1846,8,4.009661
1847,8,4.353819
1848,8,3.809664
1327,2,18.372220
650,2,18.431543
2980,2,18.692460
1850,8,3.829950
1851,8,3.844985
1852,8,3.821889
1853,8,3.912325
1596,12,2.653357
1849,2,15.236998
2664,4,7.941638
1597,12,2.319673
1316,1,37.400593
172,1,37.466556
2447,2,12.078820
1235,1,35.140394
683,2,11.281439
159,1,35.310298
888,1,35.570812
1198,1,35.616888
1834,1,32.736693
82,1,32.937829
1270,1,34.168632
820,22,1.656884
1290,1,21.344343
1370,1,28.119960
963,1,19.674494
890,1,20.671285
992,1,22.426306
1734,1,22.576274
1816,1,21.427773
837,25,0.796383
938,1,20.782643
1773,1,20.795485
605,1,27.447383
839,25,0.764645
2701,25,0.763124
2190,12,1.531538
2445,8,2.286459
174,4,3.063665
2189,5,4.569743
2446,8,2.283324
2448,8,2.311749
2583,12,1.529906
923,1,17.325027
1167,1,12.221129
1293,1,17.087285
1168,1,11.711352
1256,1,12.076602
1153,1,13.437505
84,1,13.698897
83,1,13.708823
88,1,13.700639
85,1,13.715128
89,1,13.707035
92,1,14.018835
90,1,14.821797
91,1,14.835451
