job_number,run_time,n_procs
637,12,16.956792
2185,8,27.519689
317,6,29.724404
1970,4,56.434468
1965,4,57.225961
1162,12,14.704140
1163,11,28.944774
1161,2,96.006981
1594,12,13.753447
1339,4,41.129400
1165,6,15.201102
1156,16,8.415809
682,4,0.734569
1819,4,38.882211
2796,12,10.685116
640,15,9.310304
639,2,78.524580
651,2,59.330071
1177,1,169.909614
1403,1,173.609972
974,1,192.066366
1342,1,181.247657
1085,1,200.436022
1338,1,127.975626
658,25,4.616128
2107,1,0.722353
180,1,125.524782
2079,1,136.629729
1369,1,141.431310
1164,12,9.180431
2795,12,6.437480
2144,1,117.139435
115,1,109.217772
569,1,111.774309
2173,1,115.335859
1144,1,26.425478
896,1,77.037531
515,1,74.931352
1356,1,75.701898
189,1,76.407913
1777,1,86.296853
2376,28,6.699857
735,25,3.813914
899,2,0.763520
768,25,3.815656
929,2,0.762960
797,25,3.854471
2600,16,5.360459
2187,8,10.426132
1259,1,24.604629
1333,1,23.627504
1352,1,22.928309
648,2,38.364982
643,2,40.598309
699,25,3.507254
173,4,4.166373
700,25,3.715335
736,25,3.149963
737,25,3.108230
383,7,2.622331
769,25,3.063739
384,7,2.737848
941,1,19.342345
770,25,3.055447
940,1,18.658866
2979,12,6.102563
157,1,72.376742
698,1,67.664920
1291,1,67.777160
1388,1,71.092349
646,8,9.057333
598,1,18.824879
1968,2,30.213759
1269,1,50.032668
1271,1,51.238052
1273,1,51.891764
1014,1,52.384931
1274,1,54.040176
647,25,2.502949
1268,1,55.488406
804,25,2.328563
805,25,2.938024
1017,1,61.573367
1372,1,61.932474
2474,25,2.746433
1736,1,63.185107
2677,25,2.396127
1311,1,67.701454
86,1,15.790777
988,12,4.529307
87,1,15.849206
93,1,15.497131
230,16,3.066794
883,12,3.856601
1595,12,3.851035
94,1,15.622922
229,1,15.575231
595,2,23.185674
1969,2,18.235050
1319,1,32.117023
659,1,32.240994
649,1,33.115775
1506,1,33.685130
1310,1,37.554309
2105,1,40.937303
381,25,1.567449
156,1,35.671345
1334,1,48.859445
1317,1,37.240671
385,25,1.689023
1386,1,49.451264
673,25,1.782444
942,7,1.382570
382,5,7.215666
674,25,1.575173
965,7,1.231893
675,25,1.528464
99,1,8.471225
676,25,1.529210
677,25,1.555988
1950,4,2.560196
679,25,1.610372
1951,4,2.282641
680,25,1.802718
1023,1,9.079412
831,25,1.698870
1169,1,9.098157
832,25,1.648633
833,25,1.528423
834,25,1.528288
97,1,8.295026
835,25,1.528087
98,1,8.444774
836,25,1.541451
100,1,8.261662
687,4,0.599662
101,1,8.239960
838,25,1.541780
897,2,1.525375
102,1,8.248927
840,25,1.527815
1779,1,8.240475
841,25,1.550432
103,1,7.477912
205,1,4.574406
206,1,4.619937
1964,25,1.545746
148,1,7.631747
212,1,4.574974
211,1,4.607678
898,2,1.539570
1978,25,1.557866
2380,4,0.761843
3017,1,4.586772
2675,1,3.911289
1981,25,1.775155
2381,4,1.156802
1776,1,3.058943
1984,25,1.818108
3019,1,2.907942
3018,1,2.960388
2004,25,1.610765
2005,25,1.525749
2475,25,1.551863
2699,25,1.533480
2700,25,1.853414
2702,25,1.666856
2703,25,1.586854
2704,25,1.532619
2705,25,1.618862
2706,25,1.536992
2710,25,1.547882
2714,25,1.545999
2715,25,1.524513
2716,25,1.575894
2717,25,1.604520
2718,25,1.598086
2719,25,1.560901
2720,25,1.582438
2721,25,1.585414
2722,25,1.597522
2723,25,1.528079
2724,25,1.547530
2725,25,1.528778
2726,25,1.566918
2443,8,4.580817
1835,8,4.591347
2442,8,4.618517
2981,12,3.061984
2444,8,3.078105
1846,8,3.822230
1847,8,3.859393
1848,8,3.809305
650,2,18.313307
1327,2,18.336171
2980,2,18.294695
1850,8,3.824616
1851,8,3.836974
1852,8,3.824140
1853,8,3.809808
1596,12,2.332891
1849,2,15.195359
2664,4,7.626700
1597,12,2.302306
1316,1,37.278722
172,1,37.288013
2447,2,12.075052
159,1,34.887271
1235,1,34.995251
683,2,11.423779
82,1,32.417068
1198,1,35.480970
888,1,35.664324
1834,1,32.613977
1270,1,33.692064
820,22,1.773181
1370,1,27.065096
1734,1,21.535110
1290,1,22.088009
963,1,19.798076
992,1,22.108912
890,1,20.706240
1816,1,21.358613
605,1,26.619124
938,1,20.557634
1773,1,20.554243
837,25,0.766081
839,25,0.765168
2701,25,0.771210
2190,12,1.536579
2445,8,2.296664
174,4,3.052185
2189,5,4.593191
2446,8,2.295452
2448,8,2.297052
2583,12,1.526381
923,1,17.050537
1168,1,10.942088
1167,1,12.284402
1293,1,17.073631
1256,1,12.107777
83,1,12.871428
84,1,12.869287
89,1,13.724169
85,1,13.733450
88,1,13.736394
1153,1,14.320854
92,1,14.881220
90,1,14.900052
91,1,14.921774
